iter	Passed	Remaining
964	58639	549025
965	58697	548939
966	58759	548889
967	58817	548802
968	58882	548775
969	58944	548727
970	59003	548649
971	59062	548575
972	59122	548509
973	59183	548452
974	59243	548386
975	59303	548315
976	59363	548247
977	59426	548207
978	59488	548155
979	59547	548081
980	59606	547998
981	59665	547925
982	59726	547863
983	59781	547756
984	59839	547669
985	59902	547623
986	59962	547557
987	60024	547513
988	60082	547422
989	60143	547368
990	60204	547305
991	60263	547228
992	60324	547171
993	60388	547140
994	60447	547063
995	60507	546997
996	60568	546935
997	60630	546888
998	60688	546807
999	60747	546726
1000	60808	546671
1001	60876	546675
1002	60933	546579
1003	60991	546497
1004	61050	546419
1005	61109	546341
1006	61170	546279
1007	61230	546214
1008	61286	546115
1009	61344	546026
1010	61403	545949
1011	61464	545896
1012	61527	545850
1013	61591	545817
1014	61650	545747
1015	61712	545696
1016	61770	545608
1017	61831	545554
1018	61893	545503
1019	61954	545446
1020	62013	545368
1021	62074	545305
1022	62135	545245
1023	62195	545186
1024	62258	545139
1025	62315	545052
1026	62373	544966
1027	62433	544892
1028	62492	544822
1029	62553	544765
1030	62614	544703
1031	62674	544635
1032	62732	544553
1033	62793	544495
1034	62856	544454
1035	62922	544435
1036	62982	544374
1037	63040	544283
1038	63099	544213
1039	63159	544145
1040	63223	544107
1041	63285	544062
1042	63347	544013
1043	63405	543929
1044	63465	543864
1045	63528	543817
1046	63588	543749
1047	63649	543693
1048	63709	543623
1049	63768	543551
1050	63829	543494
1051	63890	543436
1052	63950	543368
1053	64011	543311
1054	64072	543253
1055	64136	543220
1056	64197	543159
1057	64258	543099
1058	64318	543033
1059	64382	543000
1060	64442	542932
1061	64499	542842
1062	64561	542787
1063	64622	542732
1064	64683	542670
1065	64742	542598
1066	64804	542549
1067	64864	542480
1068	64922	542396
1069	64982	542332
1070	65043	542272
1071	65103	542208
1072	65162	542127
1073	65225	542087
1074	65284	542011
1075	65344	541946
1076	65408	541915
1077	65464	541816
1078	65525	541755
1079	65583	541670
1080	65640	541576
1081	65697	541489
1082	65759	541434
1083	65818	541366
1084	65875	541267
1085	65934	541197
1086	65992	541117
1087	66050	541034
1088	66113	540988
1089	66173	540920
1090	66234	540864
1091	66292	540779
1092	66353	540719
1093	66411	540640
1094	66472	540585
1095	66531	540508
1096	66589	540424
1097	66651	540371
1098	66711	540310
1099	66772	540254
1100	66832	540181
1101	66898	540167
1102	66960	540114
1103	67020	540049
1104	67077	539957
1105	67138	539900
1106	67200	539850
1107	67261	539791
1108	67320	539717
1109	67380	539653
1110	67438	539568
1111	67498	539501
1112	67560	539448
1113	67621	539391
1114	67681	539331
1115	67740	539256
1116	67800	539189
1117	67859	539113
1118	67920	539050
1119	67979	538978
1120	68038	538902
1121	68096	538825
1122	68160	538787
1123	68226	538766
1124	68288	538722
1125	68345	538633
1126	68402	538543
1127	68466	538506
1128	68527	538447
1129	68586	538376
1130	68647	538311
1131	68708	538258
1132	68766	538178
1133	68826	538112
1134	68886	538045
1135	68944	537962
1136	69003	537890
1137	69062	537812
1138	69123	537753
1139	69185	537707
1140	69244	537633
1141	69304	537561
1142	69364	537500
1143	69426	537449
1144	69484	537366
1145	69544	537297
1146	69603	537229
1147	69665	537173
1148	69728	537133
1149	69785	537047
1150	69846	536983
1151	69905	536913
1152	69963	536832
1153	70022	536758
1154	70081	536684
1155	70143	536630
1156	70203	536568
1157	70265	536515
1158	70326	536460
1159	70391	536429
1160	70448	536340
1161	70511	536296
1162	70569	536216
1163	70630	536157
1164	70692	536106
1165	70751	536035
1166	70812	535979
1167	70871	535904
1168	70927	535812
1169	70988	535748
1170	71048	535683
1171	71107	535614
1172	71165	535532
1173	71224	535457
1174	71284	535394
1175	71341	535306
1176	71397	535209
1177	71458	535148
1178	71515	535058
1179	71573	534978
